ENTITY ,LOCATION,CLOCK(HR),a_SKU,, 
4,99,    0.00,   1177, , 
4,99,    0.00,   1177, , 
4,99,    0.00,   1177, , 
4,99,    0.00,   1177, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,   1024, , 
4,99,    0.00,   1024, , 
4,99,    0.00,   1160, , 
4,99,    0.00,   1160, , 
4,99,    0.00,   1160, , 
4,99,    0.00,   1160, , 
4,99,    0.00,   1160, , 
4,99,    0.00,   1160, , 
4,99,    0.00,   1160, , 
4,99,    0.00,   1160, , 
4,99,    0.00,   1160, , 
4,99,    0.00,   1160, , 
4,99,    0.00,    977, , 
4,99,    0.00,   1033, , 
4,99,    0.00,    772, , 
4,99,    0.00,    772, , 
4,99,    0.00,   1165, , 
4,99,    0.00,   1120, , 
4,99,    0.00,    772, , 
4,99,    0.00,   1179, , 
4,99,    0.00,   1120, , 
4,99,    0.00,   1032, , 
4,99,    0.00,   1120, , 
4,99,    0.00,    772, , 
4,99,    0.00,    772, , 
4,99,    0.00,   1180, , 
4,99,    0.00,   1204, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,   1159, , 
4,99,    0.00,   1159, , 
4,99,    0.00,   1204, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,   1159, , 
4,99,    0.00,   1159, , 
4,99,    0.00,   1159, , 
4,99,    0.00,   1159, , 
4,99,    0.00,   1159, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,    729, , 
4,99,    0.00,   1118, , 
4,99,    0.00,   1118, , 
4,99,    0.00,    739, , 
4,99,    0.00,    739, , 
4,99,    0.00,    739, , 
4,99,    0.00,    739, , 
4,99,    0.00,    739, , 
4,99,    0.00,    739, , 
4,99,    0.00,    739, , 
4,99,    0.00,    763, , 
4,99,    0.00,    763, , 
4,99,    0.00,    763, , 
4,99,    0.00,    763, , 
4,99,    0.00,    763, , 
4,99,    0.00,    763, , 
4,99,    0.00,    763, , 
4,99,    0.00,    763, , 
4,99,    0.00,    763, , 
4,99,    0.00,    763, , 
4,99,    0.00,    763, , 
4,99,    0.00,    763, , 
4,99,    0.00,    763, , 

